model,target,ROC_AUC,PR_AUC,Brier,BSS,runtime_s,architecture,zone
Poisson_null,M≥5.5,0.5,0.19101941747572815,0.15469379064519284,0.0,0.0,,
LR,M≥5.5,0.6604884122465613,0.33252803072408427,0.14213167741869756,0.08120631845726678,1.0439112186431885,,
BalancedRF,M≥5.5,0.7236775138759111,0.3995468119404457,0.13208966406603287,0.14612174467302963,13.631569147109985,,
XGB,M≥5.5,0.7247032200043384,0.4267199953648507,0.1331138057939959,0.13950129970434955,1.713810920715332,,
Poisson_null,M≥6.0,0.5,0.043689320388349516,0.04213935211883162,0.0,0.0,,
LR,M≥6.0,0.601182318104907,0.06808206077734755,0.04142476888907558,0.01695762259801581,1.2585902214050293,,
BalancedRF,M≥6.0,0.6507825719120135,0.07868504758640903,0.042708352939137655,-0.013502837411962787,7.852580785751343,,
XGB,M≥6.0,0.5963846587704456,0.05472487879343023,0.04218883642340373,-0.0011743015040326377,3.4584221839904785,,
Poisson_null,M≥6.5,0.5,0.014563106796116505,0.014415748931101011,0.0,0.0,,
LR,M≥6.5,0.6058169129720854,0.046836902070310764,0.014150215765383091,0.018419658041147646,1.379209280014038,,
BalancedRF,M≥6.5,0.6754310344827585,0.03151418667754129,0.01424015884843543,0.012180434294797982,5.766544580459595,,
XGB,M≥6.5,0.7764778325123153,0.032,0.014336901811775792,0.005469512524258313,3.233346462249756,,
LSTM_Himalaya_HinduKush,M≥5.5,0.5634059585338322,0.5520819634169222,0.25059247396630113,0.020427405907300078,32.0,LSTM,Himalaya_HinduKush
TCN_Himalaya_HinduKush,M≥5.5,0.535258123923246,0.5345260537771503,0.2532732648794508,0.009948123479339821,29.4,TCN,Himalaya_HinduKush
WaveNet_Himalaya_HinduKush,M≥5.5,0.6401005465454761,0.6614820712610383,0.24994267532625794,0.022967485939993426,51.5,WaveNet,Himalaya_HinduKush
Transformer_Himalaya_HinduKush,M≥5.5,0.5042401829739203,0.5753301394014076,0.2594825886364902,-0.014324286956507892,38.6,Transformer,Himalaya_HinduKush
LSTM_Andaman_Nicobar,M≥5.5,0.48276017234202917,0.37186013914677307,0.2146557374457986,-0.27926320394842663,19.4,LSTM,Andaman_Nicobar
TCN_Andaman_Nicobar,M≥5.5,0.5311891825003094,0.39075589124329135,0.21625120505698278,-0.2887715591983988,28.5,TCN,Andaman_Nicobar
WaveNet_Andaman_Nicobar,M≥5.5,0.5011811953697142,0.3442924535035415,0.22793527533104668,-0.3584039918173114,94.9,WaveNet,Andaman_Nicobar
Transformer_Andaman_Nicobar,M≥5.5,0.5021036527060624,0.20979418814324613,0.21127339139486026,-0.2591057606977971,35.4,Transformer,Andaman_Nicobar
