model,target,ROC_AUC,PR_AUC,Brier,BSS,runtime_s
Poisson_null,M≥5.5,0.5,0.19101941747572815,0.15469379064519284,0.0,0.0
LR,M≥5.5,0.6604884122465613,0.33252803072408427,0.14213167741869756,0.08120631845726678,1.0439112186431885
BalancedRF,M≥5.5,0.7236775138759111,0.3995468119404457,0.13208966406603287,0.14612174467302963,13.631569147109985
XGB,M≥5.5,0.7247032200043384,0.4267199953648507,0.1331138057939959,0.13950129970434955,1.713810920715332
Poisson_null,M≥6.0,0.5,0.043689320388349516,0.04213935211883162,0.0,0.0
LR,M≥6.0,0.601182318104907,0.06808206077734755,0.04142476888907558,0.01695762259801581,1.2585902214050293
BalancedRF,M≥6.0,0.6507825719120135,0.07868504758640903,0.042708352939137655,-0.013502837411962787,7.852580785751343
XGB,M≥6.0,0.5963846587704456,0.05472487879343023,0.04218883642340373,-0.0011743015040326377,3.4584221839904785
Poisson_null,M≥6.5,0.5,0.014563106796116505,0.014415748931101011,0.0,0.0
LR,M≥6.5,0.6058169129720854,0.046836902070310764,0.014150215765383091,0.018419658041147646,1.379209280014038
BalancedRF,M≥6.5,0.6754310344827585,0.03151418667754129,0.01424015884843543,0.012180434294797982,5.766544580459595
XGB,M≥6.5,0.7764778325123153,0.032,0.014336901811775792,0.005469512524258313,3.233346462249756
